Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
5409,Pramod Kumar,MAINPURI,IND,0,10th Pass,,
5410,Pramod Kumar Mallick,CUTTACK,BSP,0,Graduate,"Rs 9,88,302  ~ 9 Lacs+","Rs 4,50,000  ~ 4 Lacs+"
5411,Pramod Kumar Nirala,NALANDA,BSP,0,Graduate,"Rs 2,77,20,429  ~ 2 Crore+","Rs 79,000  ~ 79 Thou+"
5412,Pramod Kumar Pattayat,BALASORE,IND,0,12th Pass,,
5413,Pramod Kumar Verma,RAJSAMAND,Bheem Tribal Congress,0,Graduate,"Rs 1,81,97,122  ~ 1 Crore+","Rs 14,50,000  ~ 14 Lacs+"
5414,Pramod Kumar Yadav,KANNAUJ,Bhartiya Krishak Dal,0,Post Graduate,"Rs 53,79,000  ~ 53 Lacs+",Rs 0  ~
5415,Pramod Kureel,WEST DELHI,Bahujan National Party (Ambedkar),0,Post Graduate,,
5416,Pramod Ram,GIRIDIH,Peoples Party of India (Democratic),1,Graduate,"Rs 4,67,500  ~ 4 Lacs+",Rs 0  ~
5417,Pramod Ramkrushna Chourpagar,AMRAVATI (SC),IND,0,Graduate,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~
5418,Pramod Sahdevbhai Gudade,AHMEDABAD EAST,Swatantrata Abhivyakti Party,0,8th Pass,,
5419,Pramod Shripat Khobragade,RAMTEK (SC),Ambedkarite Party of India,0,Others,"Rs 29,20,000  ~ 29 Lacs+",Rs 0  ~
5420,Pranab Prakash Das,SAMBALPUR,BJD,0,12th Pass,"Rs 2,30,69,926  ~ 2 Crore+",Rs 0  ~
5421,Pranati Paul,KOLKATA UTTAR,IND,0,12th Pass,,
5422,Pranav Kumar Mahto,JAMSHEDPUR,BSP,1,Graduate,"Rs 5,45,000  ~ 5 Lacs+","Rs 32,000  ~ 32 Thou+"
5423,Prangyan Prakash Mohapatra,KENDRAPARA,Odisha Janata Party,0,Post Graduate,"Rs 45,70,567  ~ 45 Lacs+",Rs 0  ~
5424,Pranita Mandal,BANGAON (SC),IND,0,Graduate Professional,,
5425,Praniti Sushilkumar Shinde,SOLAPUR (SC),INC,3,Graduate Professional,"Rs 6,60,70,402  ~ 6 Crore+",Rs 0  ~
5426,Praphul Krishnan,VADAKARA,BJP,6,Post Graduate,"Rs 1,19,58,716  ~ 1 Crore+","Rs 27,10,110  ~ 27 Lacs+"
5427,Prasad Patibandla,THIRUPATHI (SC),IND,0,Doctorate,,
5428,Prasangi,NAGARKURNOOL (SC),Pyramid Party of India,0,5th Pass,"Rs 6,21,000  ~ 6 Lacs+",Rs 0  ~
5429,Prasanna Kumar M,THOOTHUKKUDI,IND,3,10th Pass,"Rs 1,41,942  ~ 1 Lacs+",Rs 0  ~
5430,Prasanna Kumar Undurthi,NARSAPURAM,IND,1,Graduate,,
5431,Prasanna Kumar.B,CHAMARAJANAGAR (SC),Karnataka Praja Party (RaithaParva),3,Graduate Professional,"Rs 87,94,766  ~ 87 Lacs+","Rs 2,87,500  ~ 2 Lacs+"
5432,Prasanth. S,KARUR,IND,0,Post Graduate,"Rs 4,91,590  ~ 4 Lacs+","Rs 1,50,000  ~ 1 Lacs+"
5433,Prasath Chitrarasu,ERODE,IND,0,Graduate Professional,,
5434,Praseetha Azhikode,WAYANAD,IND,0,10th Pass,"Rs 32,70,000  ~ 32 Lacs+","Rs 5,22,000  ~ 5 Lacs+"
5435,Prashant Daniel,KORBA,Sarv Adi Dal,0,12th Pass,"Rs 39,500  ~ 39 Thou+",Rs 0  ~
5436,Prashant Prakash Ghadge,MUMBAI SOUTH,IND,2,8th Pass,,
5437,Prashant Pundalikrao Avhale,AURANGABAD,IND,0,Graduate,"Rs 12,60,744  ~ 12 Lacs+",Rs 0  ~
5438,Prashant Ramesh Ingle,KALYAN,BSP,0,Post Graduate,"Rs 2,45,99,131  ~ 2 Crore+","Rs 42,97,697  ~ 42 Lacs+"
5439,Prashant Ramkrishna Bhagat,MAVAL,Bharatheeya Jawan Kisan Party,0,10th Pass,,
5440,Prashant Rao,BAGALKOT,IND,0,Graduate,"Rs 1,07,02,000  ~ 1 Crore+","Rs 41,00,000  ~ 41 Lacs+"
5441,Prashant Vasant Nikam,SHIRDI (SC),IND,0,Post Graduate,"Rs 32,400  ~ 32 Thou+",Rs 0  ~
5442,Prashanth Katraji,NIZAMABAD,IND,0,Graduate,,
5443,Prashast Dheer,KANPUR,All India Forward Bloc,0,Graduate Professional,"Rs 3,74,000  ~ 3 Lacs+",Rs 0  ~
5444,Prassan Jeet Singh,REWA,IND,0,Graduate Professional,"Rs 2,75,78,344  ~ 2 Crore+","Rs 1,22,00,000  ~ 1 Crore+"
5445,Prasun Banerjee,MALDAHA UTTAR,AITC,0,Post Graduate,,
5446,Prasun Banerjee,HOWRAH,AITC,1,Graduate,"Rs 1,03,60,134  ~ 1 Crore+",Rs 0  ~
5447,Prasun Lahiri,HOWRAH,IND,0,Graduate,"Rs 59,99,492  ~ 59 Lacs+",Rs 0  ~
5448,Pratap Bhanu,KORBA,IND,1,12th Pass,,
5449,Pratap Chandra Mohanty,KENDRAPARA,IND,3,Post Graduate,"Rs 4,67,035  ~ 4 Lacs+","Rs 3,04,622  ~ 3 Lacs+"
5450,Pratap Chandra Sarangi,BALASORE,BJP,9,Graduate,"Rs 49,59,072  ~ 49 Lacs+",Rs 0  ~
5451,Pratap Pandharinath Patil,BULDHANA,IND,0,8th Pass,,
5452,Pratap Singh,CHITTORGARH,IND,0,Post Graduate,"Rs 3,10,20,000  ~ 3 Crore+","Rs 13,35,936  ~ 13 Lacs+"
5453,Pratap Singh Khachariyawas,JAIPUR,INC,0,Post Graduate,"Rs 8,79,42,399  ~ 8 Crore+","Rs 96,60,026  ~ 96 Lacs+"
5454,Pratapa Ram,BARMER,IND,0,10th Pass,,
5455,Pratapbhanu Sharma,VIDISHA,INC,0,Graduate Professional,"Rs 7,01,89,892  ~ 7 Crore+","Rs 8,61,491  ~ 8 Lacs+"
5456,Prathap Reddy Gorla,HINDUPUR,IND,0,12th Pass,"Rs 22,10,010  ~ 22 Lacs+",Rs 0  ~
5457,Prathapa K.A,HASSAN,Uttama Prajaakeeya Party,0,Others,,
5458,Prathapan,ERNAKULAM,Bahujan Dravida Party,0,10th Pass,"Rs 95,98,764  ~ 95 Lacs+","Rs 55,00,000  ~ 55 Lacs+"
5459,Prathapan,THRISSUR,IND,0,10th Pass,"Rs 38,22,200  ~ 38 Lacs+","Rs 2,54,022  ~ 2 Lacs+"
5460,Prathmesh Mishra,PRATAPGARH,BSP,0,Graduate Professional,,
5461,Pratibha Rani,AURANGABAD,Peoples Party of India (Democratic),0,Graduate,"Rs 73,09,211  ~ 73 Lacs+",Rs 0  ~
5462,Pratibha Shelar,SATARA,IND,0,10th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
5463,Pratik Ur Rahaman,DIAMOND HARBOUR,CPI(M),9,Graduate Professional,,
5464,Pratiksha Prashant Chavan,AURANGABAD,Ambedkarist Republican Party,0,12th Pass,Nil,Rs 0  ~
5465,Pratima Mondal,JAYNAGAR (SC),IND,0,8th Pass,"Rs 95,000  ~ 95 Thou+",Rs 0  ~
5466,Pratima Mondal,JAYNAGAR (SC),AITC,0,Post Graduate,,
5467,Praval Kumar,MUNGER,IND,0,Graduate,"Rs 19,40,000  ~ 19 Lacs+",Rs 0  ~
5468,Praveen Bansal,BAGHPAT,BSP,1,Post Graduate,"Rs 8,01,98,097  ~ 8 Crore+","Rs 2,15,22,597  ~ 2 Crore+"
5469,Praveen Gautam,NORTH WEST DELHI (SC),Navarang Congress Party,0,8th Pass,,
5470,Praveen H. H.,DHARWAD,IND,0,10th Pass,"Rs 4,26,584  ~ 4 Lacs+",Rs 0  ~
5471,Praveen Khandelwal,CHANDNI CHOWK,BJP,0,Graduate Professional,"Rs 11,70,39,798  ~ 11 Crore+","Rs 6,06,45,587  ~ 6 Crore+"
5472,Praveen Patel,PHULPUR,BJP,0,Post Graduate,,
5473,Praveen Pathak,GWALIOR,INC,0,Post Graduate,"Rs 2,53,36,965  ~ 2 Crore+","Rs 52,63,191  ~ 52 Lacs+"
5474,Praveen Singh Aron,BAREILLY,SP,0,Graduate Professional,"Rs 1,82,85,24,671  ~ 182 Crore+","Rs 28,61,333  ~ 28 Lacs+"
5475,Pravesh Kumar Mishra Alias Anup,VALMIKI NAGAR,IND,0,Graduate,,
5476,Praveshanand Puri,MATHURA,IND,0,5th Pass,"Rs 6,000  ~ 6 Thou+",Rs 0  ~
5477,Pravin Jain,RAIPUR,IND,0,10th Pass,"Rs 56,30,123  ~ 56 Lacs+",Rs 0  ~
5478,Pravin Kumar Nishad,SANT KABIR NAGAR,BJP,0,Graduate Professional,,
5479,Pravin Laxman Patil,RAVER,IND,0,Post Graduate,"Rs 31,26,000  ~ 31 Lacs+","Rs 22,00,000  ~ 22 Lacs+"
5480,Pravin Madhav Johare,LATUR (SC),Swarajya Sena (Maharashtra),0,Graduate,"Rs 5,12,000  ~ 5 Lacs+",Rs 0  ~
5481,Pravin Subhash Dalvi,AHMEDNAGAR,IND,0,Graduate,,
5482,Pravinbhai Ishvarbhai Chauhan,BANASKANTHA,Swatantrata Abhivyakti Party,3,8th Pass,"Rs 7,20,200  ~ 7 Lacs+",Rs 0  ~
5483,Pravishant Saloman,RAIPUR,IND,0,Post Graduate,"Rs 31,18,580  ~ 31 Lacs+",Rs 0  ~
5484,Praween Kachhap,RANCHI,Sampoorna Bharat Kranti Party,0,Others,,
5485,Prayag Paswan,KARAKAT,SUCI(C),0,Post Graduate,"Rs 42,05,028  ~ 42 Lacs+",Rs 0  ~
5486,Preeti,NORTH WEST DELHI (SC),Saman Adhikar Party,0,5th Pass,"Rs 1,61,139  ~ 1 Lacs+",Rs 0  ~
5487,Prem Chand,GHOSI,Pragatisheel Manav Samaj Party,0,Graduate Professional,,
5488,Prem Chand Boongi,FIROZPUR,Punjab National Party,0,10th Pass,"Rs 1,34,000  ~ 1 Lacs+","Rs 20,000  ~ 20 Thou+"
5489,Prem Das Rai,SIKKIM,Sikkim Democratic Front,0,Post Graduate,"Rs 10,71,59,210  ~ 10 Crore+",Rs 0  ~
5490,Prem Dutt,FIROZABAD,Rashtra Uday Party,0,Graduate,,
5491,Prem Dutt Semwal,TEHRI GARHWAL,IND,0,Graduate,"Rs 30,41,000  ~ 30 Lacs+","Rs 80,000  ~ 80 Thou+"
5492,Prem Kumar,BASTI,Moulik Adhikar Party,2,Post Graduate,"Rs 1,30,000  ~ 1 Lacs+","Rs 10,808  ~ 10 Thou+"
5493,Prem Lal,FARIDKOT (SC),Democratic Bharatiya Samaj Party,0,Illiterate,,
5494,Prem Lata,AJMER,IND,0,Graduate,"Rs 57,72,000  ~ 57 Lacs+",Rs 0  ~
5495,Prem Nath Chanchal Alias Chanchal Paswan,GOPALGANJ (SC),Vikassheel Insaan Party,1,Post Graduate,"Rs 1,83,71,625  ~ 1 Crore+","Rs 30,07,530  ~ 30 Lacs+"
5496,Prem Pal Sagar,AONLA,Vanchitsamaj Insaaf Party,0,8th Pass,,
5497,Prem Prakash Paswan,DHANBAD,IND,0,12th Pass,"Rs 8,50,183  ~ 8 Lacs+","Rs 97,689  ~ 97 Thou+"
5498,Prem Ramapati Gupta,MUMBAI NORTH - EAST,IND,3,5th Pass,"Rs 35,95,501  ~ 35 Lacs+",Rs 0  ~
5499,Prem S,NAGAPATTINAM (SC),IND,0,8th Pass,,
5500,Prem Singh,NEW DELHI,Navarang Congress Party,0,10th Pass,"Rs 3,84,000  ~ 3 Lacs+",Rs 0  ~
5501,Prem Singh Chandumajra,ANANDPUR SAHIB,SAD,2,Post Graduate,"Rs 22,28,88,307  ~ 22 Crore+",Rs 0  ~
5502,Prem Singh Mohanpur,FATEHGARH SAHIB (SC),IND,0,Graduate,,
5503,Prema S,THENI,IND,0,Others,"Rs 1,51,50,000  ~ 1 Crore+","Rs 50,50,000  ~ 50 Lacs+"
5504,Premachandran Nair,KOLLAM,IND,0,8th Pass,"Rs 31,000  ~ 31 Thou+","Rs 36,370  ~ 36 Thou+"
5505,Premchand Bind,BHADOHI,Pragatisheel Manav Samaj Party,1,Graduate Professional,,
5506,Premchand Nayak,GHOSI,IND,0,Graduate,"Rs 1,64,000  ~ 1 Lacs+","Rs 56,000  ~ 56 Thou+"
5507,Premchandra Harijan,BARABANKI (SC),Sardar Patel Siddhant Party,0,Post Graduate,"Rs 12,30,000  ~ 12 Lacs+",Rs 0  ~
5508,Premchandra Harijan,SHAHJAHANPUR (SC),Sardar Patel Siddhant Party,0,Post Graduate,,
5509,Premkumar Dashrath Gajbhare,RAMTEK (SC),IND,0,12th Pass,"Rs 10,10,000  ~ 10 Lacs+",Rs 0  ~
5510,Premkumar P,COIMBATORE,IND,1,5th Pass,"Rs 51,074  ~ 51 Thou+","Rs 1,36,984  ~ 1 Lacs+"
5511,Premlal Ganju,SONITPUR,INC,2,12th Pass,,
5512,Premlata Verma,JALAUN (SC),IND,0,Graduate Professional,"Rs 29,05,118  ~ 29 Lacs+","Rs 1,40,000  ~ 1 Lacs+"
5513,Premraj Khardiya,NAGAUR,IND,0,12th Pass,"Rs 35,80,000  ~ 35 Lacs+",Rs 0  ~
5514,Preneet Kaur,PATIALA,BJP,0,Graduate,,
5515,Prince Abhishek Kujur,SURGUJA (ST),IND,0,Post Graduate,"Rs 5,50,000  ~ 5 Lacs+","Rs 1,33,000  ~ 1 Lacs+"
5516,Principal C D Sharma,JAMMU,IND,0,Post Graduate,"Rs 2,04,95,424  ~ 2 Crore+",Rs 0  ~
5517,Pritam Singh,FIROZPUR,IND,1,Graduate,,
5518,Pritam Singh,FARIDKOT (SC),Bahujan Mukti Party,0,10th Pass,"Rs 26,393  ~ 26 Thou+",Rs 0  ~
5519,Pritesh Chauhan (Lalu),AMRELI,IND,0,8th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
5520,Prithvi Nath Singh,NEW DELHI,Bharatiya Sampuran Krantikari Party,3,Graduate,,
5521,Prithvi Pal,AMRITSAR,IND,0,10th Pass,"Rs 26,07,500  ~ 26 Lacs+",Rs 0  ~
5522,Prithviraj Narayan Dev Mech,KOKRAJHAR (ST),IND,0,Graduate,"Rs 46,59,977  ~ 46 Lacs+","Rs 12,51,000  ~ 12 Lacs+"
5523,Priti Kashyap,KAIRANA,Rashtriya Mazdoor Ekta Party,0,12th Pass,,
5524,Priti Pramod Sadanshiv,AKOLA,Republican Party of India (Social),0,Graduate,"Rs 22,80,779  ~ 22 Lacs+","Rs 14,40,000  ~ 14 Lacs+"
5525,Pritpal Singh,LUDHIANA,Bahujan Dravida Party,0,10th Pass,"Rs 1,23,50,000  ~ 1 Crore+","Rs 20,00,000  ~ 20 Lacs+"
5526,Priya Saroj,MACHHLISHAHR (SC),SP,2,Graduate Professional,,
5527,Priyabrata Garnaik,DHENKANAL,IND,0,Post Graduate,"Rs 1,19,75,000  ~ 1 Crore+","Rs 1,10,000  ~ 1 Lacs+"
5528,Priyadarshani Nandkumar Kokare,BARAMATI,BSP,0,Graduate Professional,"Rs 2,10,000  ~ 2 Lacs+",Rs 0  ~
5529,Priyadarshee Dinkar,KHAGARIA,IND,0,Graduate,,
5530,Priyadarshi Piyush,MUNGER,IND,0,Post Graduate,"Rs 1,54,79,000  ~ 1 Crore+",Rs 0  ~
5531,Priyama Das,BASIRHAT,IND,0,Graduate,"Rs 87,01,550  ~ 87 Lacs+","Rs 32,00,000  ~ 32 Lacs+"
5532,Priyanka Balan Meghwal,GANGANAGAR (SC),BJP,0,Post Graduate,,
5533,Priyanka Patel,KORBA,Republican Party of India (A),1,Graduate,"Rs 1,03,000  ~ 1 Lacs+",Rs 0  ~
5534,Priyanka Prasad Choudhary,KARAKAT,All India Majlis-E-Ittehadul Muslimeen,1,Graduate,"Rs 2,53,04,133  ~ 2 Crore+","Rs 1,00,000  ~ 1 Lacs+"
5535,Priyanka Sanjay Bhandarkar,BALAGHAT,Bhartiya Shakti Chetna Party,0,10th Pass,,
5536,Priyanka Satish Jarkiholi,CHIKKODI,INC,0,Post Graduate,"Rs 9,11,57,625  ~ 9 Crore+","Rs 1,57,43,768  ~ 1 Crore+"
5537,Priye Ranjan,MADHUBANI,IND,2,Post Graduate,"Rs 8,58,076  ~ 8 Lacs+",Rs 0  ~
5538,Pro Kameshwar Yadav,MADHEPURA,Bharatiya Jan Kranti Dal (Democratic),0,Post Graduate,,
5539,Pro Kisan Ramrao Ambure,YAVATMAL - WASHIM,IND,0,Post Graduate,"Rs 10,32,698  ~ 10 Lacs+",Rs 0  ~
5540,Probash Chandra Sarkar,SILCHAR (SC),SUCI(C),0,12th Pass,"Rs 14,26,332  ~ 14 Lacs+","Rs 6,000  ~ 6 Thou+"
5541,Prof C Raveendranath,CHALAKUDY,CPI(M),0,Post Graduate,,
5542,Prof Mohinder Pal Singh,PATIALA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1,Post Graduate,"Rs 87,60,499  ~ 87 Lacs+",Rs 0  ~
5543,Prof S P Singh Baghel,AGRA (SC),BJP,0,Doctorate,"Rs 10,43,58,691  ~ 10 Crore+","Rs 51,70,325  ~ 51 Lacs+"
5544,Prof Sumantai Tirpude,BULDHANA,Peoples Party of India (Democratic),0,Post Graduate,,
5545,Prof. (Dr.) Ram Ghulam Razdan,BARABANKI (SC),Public Adhikar Socialist Indian Party,0,Graduate Professional,"Rs 1,62,62,511  ~ 1 Crore+","Rs 15,00,000  ~ 15 Lacs+"
5546,Prof. Ameerul Hasan Sayyed,BHIWANDI,IND,0,Post Graduate,"Rs 2,84,676  ~ 2 Lacs+","Rs 2,03,349  ~ 2 Lacs+"
5547,Prof. Dr. Arjun Gena Ohol,SOLAPUR (SC),Bahujan Mukti Party,1,Doctorate,,
5548,Prof. Dr. Ashish Subhash Jadhav,RAVER,IND,0,Doctorate,"Rs 23,25,036  ~ 23 Lacs+",Rs 0  ~
5549,Prof. Dr. Prashant Gangawane,MUMBAI NORTH - EAST,Desh Janhit Party,1,Doctorate,"Rs 6,42,50,838  ~ 6 Crore+","Rs 14,77,892  ~ 14 Lacs+"
5550,Prof. Dr. Subhash Khanderao Gaikwad,SOLAPUR (SC),IND,0,Doctorate,,
5551,Prof. Dr. Vilas Bansidhar Tangade,PARBHANI,IND,7,Doctorate,"Rs 89,00,000  ~ 89 Lacs+","Rs 1,50,00,000  ~ 1 Crore+"
5552,Prof. Lakhon Kma,SHILLONG (ST),IND,0,Doctorate,"Rs 5,09,44,214  ~ 5 Crore+","Rs 20,27,593  ~ 20 Lacs+"
5553,Prof. Namdeorao Jadhav,BARAMATI,IND,0,Post Graduate,,
5554,Prof. Parashuram Mane,HATKANANGALE,IND,0,Post Graduate,"Rs 44,000  ~ 44 Thou+",Rs 0  ~
5555,Prof. Rajendra Gulabrao Salunkhe,WARDHA,Vanchit Bahujan Aaghadi,0,Post Graduate,"Rs 1,18,38,865  ~ 1 Crore+","Rs 16,02,374  ~ 16 Lacs+"
5556,Professor M.V Rajeev Gowda,BANGALORE NORTH,INC,0,Doctorate,,
5557,Professor Suresh Sahu,MAHASAMUND,IND,0,Post Graduate,"Rs 1,38,00,000  ~ 1 Crore+",Rs 0  ~
5558,Professor. Azmeera Seetaram Naik,MAHABUBABAD (ST),BJP,0,Doctorate,"Rs 3,06,26,402  ~ 3 Crore+","Rs 1,37,60,806  ~ 1 Crore+"
5559,Pt. Ramniwas Sharma,FATEHPUR SIKRI,BSP,0,Graduate,,
5560,Puja Devi,NALANDA,IND,0,8th Pass,"Rs 41,63,000  ~ 41 Lacs+","Rs 50,000  ~ 50 Thou+"
5561,Pujan Ram Saket (Babbu),SIDHI,BSP,0,10th Pass,"Rs 56,96,000  ~ 56 Lacs+","Rs 7,50,000  ~ 7 Lacs+"
5562,Pukhraj Nayak,BIKANER (SC),IND,0,Literate,,
5563,Pulakesh Mondal,DIAMOND HARBOUR,IND,0,12th Pass,"Rs 60,37,194  ~ 60 Lacs+",Rs 0  ~
5564,Puli Sreenivasulu,RAJAMPET,IND,0,12th Pass,"Rs 1,64,49,864  ~ 1 Crore+",Rs 0  ~
5565,Puligilla Bixapathi Yadav,BHONGIR,National Nava Kranthi Party,0,Graduate Professional,,
5566,Pulimamidi Venkatesh Gupta,SECUNDERABAD,IND,0,8th Pass,"Rs 9,75,000  ~ 9 Lacs+",Rs 0  ~
5567,Puljala Balaiah,NAGARKURNOOL (SC),IND,0,Illiterate,"Rs 21,55,500  ~ 21 Lacs+","Rs 60,000  ~ 60 Thou+"
5568,Pullangari Sandeep Kumar Reddy,MAHBUBNAGAR,IND,0,Post Graduate,,
5569,Punam Devi,SASARAM (SC),Jantantra Awaj Party,0,Literate,"Rs 11,50,000  ~ 11 Lacs+",Rs 0  ~
5570,Punam Pandey,NEW DELHI,Rashtravadi Loktantrik Party (India),2,12th Pass,"Rs 2,66,86,500  ~ 2 Crore+","Rs 1,10,00,000  ~ 1 Crore+"
5571,Pundalik Itnal,BELGAUM,IND,0,12th Pass,,
5572,Punganuru Prasanna Ganapathi,NELLORE,Radical Party of India (Ambedkarist),0,Graduate Professional,"Rs 2,50,000  ~ 2 Lacs+",Rs 0  ~
5573,Punjabhai Bavbhai Dafda,AMRELI,IND,0,5th Pass,"Rs 2,52,127  ~ 2 Lacs+",Rs 0  ~
5574,Puppala Limbadri,NIZAMABAD,BSP,0,Graduate Professional,,
5575,Purna Mohan Roy,COOCH BEHAR (SC),BSP,0,12th Pass,"Rs 26,05,500  ~ 26 Lacs+",Rs 0  ~
5576,Purnima Debnath,JADAVPUR,IND,0,8th Pass,"Rs 2,94,800  ~ 2 Lacs+",Rs 0  ~
5577,Purnima Dilip Ghonmode,CHANDRAPUR,Bahujan Republican Socialist Party,0,Doctorate,,
5578,Purnochandra Mandal,MALDAHA DAKSHIN,IND,0,8th Pass,"Rs 5,20,100  ~ 5 Lacs+",Rs 0  ~
5579,Purushottam Lal,BHARATPUR (SC),IND,0,Post Graduate,"Rs 11,55,379  ~ 11 Lacs+","Rs 2,20,000  ~ 2 Lacs+"
5580,Purushottam Manikpuri,KORBA,IND,0,10th Pass,,
5581,Purushottam Tiwari,KANNAUJ,IND,0,Graduate Professional,"Rs 6,01,000  ~ 6 Lacs+",Rs 0  ~
5582,Purusottam Patra,SAMBALPUR,Kosal Janata Dal,0,Graduate,"Rs 4,92,000  ~ 4 Lacs+",Rs 0  ~
5583,Pushpa Mairisha,DURG,Ambedkarite Party of India,0,Post Graduate,,
5584,Pushpa Nagra,NORTH WEST DELHI (SC),IND,0,12th Pass,"Rs 3,68,94,500  ~ 3 Crore+",Rs 0  ~
5585,Pushpanantham V,COIMBATORE,Tamizhaga Murpokku Makkal Katchi,0,Graduate Professional,"Rs 5,34,000  ~ 5 Lacs+","Rs 76,500  ~ 76 Thou+"
5586,Pushparaj. N,KARUR,IND,0,Graduate Professional,,
5587,Pushpendar Kumar,BHARATPUR (SC),IND,0,8th Pass,"Rs 3,50,000  ~ 3 Lacs+",Rs 0  ~
5588,Pushpendra Kumar Saroj,KAUSHAMBI (SC),IND,0,Graduate,"Rs 1,05,000  ~ 1 Lacs+",Rs 0  ~
5589,Pushpendra Saroj,KAUSHAMBI (SC),SP,0,Graduate,,
5590,Pushpinder Singh Alias Lovely Attawa,CHANDIGARH,IND,0,12th Pass,"Rs 3,01,242  ~ 3 Lacs+",Rs 0  ~
5591,Putaraj,BIDAR,BSP,0,12th Pass,"Rs 3,20,000  ~ 3 Lacs+",Rs 0  ~
5592,Putta Mahesh Kumar,ELURU,TDP,1,Graduate Professional,,
5593,Putta Vinod Kumar,WARANGAL (SC),IND,0,Graduate,"Rs 45,000  ~ 45 Thou+","Rs 88,650  ~ 88 Thou+"
5594,Pyush Narula,CHANDNI CHOWK,IND,0,12th Pass,"Rs 19,26,05,318  ~ 19 Crore+","Rs 7,55,00,000  ~ 7 Crore+"
5595,Qamar Hayat,AMBEDKAR NAGAR,BSP,2,12th Pass,,
5596,Qamrul Haque,DARJEELING,North Bengal People’s Party,0,Post Graduate,"Rs 4,87,664  ~ 4 Lacs+",Rs 0  ~
5597,Qari Zaheer Abbas Bhatti,JAMMU,All India Forward Bloc,1,Others,"Rs 51,91,991  ~ 51 Lacs+","Rs 14,10,000  ~ 14 Lacs+"
5598,R Anandaraju,PERAMBALUR,IND,0,Graduate Professional,,
5599,R Dhandapani,ERODE,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,"Rs 5,45,000  ~ 5 Lacs+",Rs 0  ~
5600,R Ellappan,ARANI,IND,0,10th Pass,"Rs 16,04,000  ~ 16 Lacs+","Rs 1,70,000  ~ 1 Lacs+"
5601,R Jagannathan,TIRUVANNAMALAI,IND,0,Post Graduate,,
5602,R Kannadhasan,RAMANATHAPURAM,IND,0,12th Pass,"Rs 1,26,000  ~ 1 Lacs+",Rs 0  ~
5603,R Kumar,ERODE,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,Illiterate,"Rs 1,85,000  ~ 1 Lacs+",Rs 0  ~
5604,R Kumaresan,ERODE,IND,0,10th Pass,,
5605,R Madhu,PERAMBALUR,IND,0,Graduate Professional,"Rs 18,03,000  ~ 18 Lacs+",Rs 0  ~
5606,R Menaga,PUDUCHERRY,Naam Tamilar Katchi,0,Graduate Professional,"Rs 3,09,882  ~ 3 Lacs+","Rs 40,000  ~ 40 Thou+"
5607,R Raja,PUDUCHERRY,IND,0,Post Graduate,,
5608,R Rajendra,KOLAR (SC),IND,0,Literate,"Rs 65,55,000  ~ 65 Lacs+",Rs 0  ~
5609,R Rameshbabu,TIRUVANNAMALAI,Naam Tamilar Katchi,0,Post Graduate,"Rs 1,90,76,106  ~ 1 Crore+","Rs 23,40,380  ~ 23 Lacs+"
5610,R Ranjithkumar,KOLAR (SC),IND,0,10th Pass,,
5611,R Thenmozhi,PERAMBALUR,Naam Tamilar Katchi,0,Post Graduate,"Rs 1,10,000  ~ 1 Lacs+",Rs 0  ~
5612,R Vinoth,ARAKKONAM,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,10th Pass,"Rs 6,55,539  ~ 6 Lacs+","Rs 2,26,500  ~ 2 Lacs+"
5613,R. Anandhi,CUDDALORE,IND,0,Graduate Professional,,
5614,R. B. Prajapati (Raja Bhaiya),KHAJURAHO,All India Forward Bloc,0,Post Graduate,"Rs 2,37,03,002  ~ 2 Crore+",Rs 0  ~
5615,R. K. Singh,ARRAH,BJP,0,Graduate Professional,"Rs 12,32,13,777  ~ 12 Crore+","Rs 20,243  ~ 20 Thou+"
5616,R. K. Singh Patel,BANDA,BJP,1,Graduate,,
5617,R. Manohar,CHENNAI NORTH,AIADMK,0,Post Graduate,"Rs 52,42,70,718  ~ 52 Crore+","Rs 9,15,83,478  ~ 9 Crore+"
5618,R. Narayanappa,TUMKUR,IND,0,8th Pass,"Rs 3,70,745  ~ 3 Lacs+","Rs 25,000  ~ 25 Thou+"
5619,R. Prakash,CUDDALORE,IND,0,Post Graduate,,
5620,R. Pushpa,TUMKUR,IND,0,5th Pass,"Rs 16,00,000  ~ 16 Lacs+",Rs 0  ~
5621,R. Rajasekar,CUDDALORE,IND,0,Graduate Professional,"Rs 2,05,965  ~ 2 Lacs+","Rs 8,500  ~ 8 Thou+"
5622,R. Senthil Kumar,CHENNAI NORTH,IND,0,10th Pass,,
5623,R. Srinivasan,CUDDALORE,IND,0,5th Pass,"Rs 5,500  ~ 5 Thou+",Rs 0  ~
5624,R. Subender Singh,MALKAJGIRI,IND,0,Post Graduate,"Rs 90,79,000  ~ 90 Lacs+",Rs 0  ~
5625,R.Anbin Amudhan,TIRUCHIRAPPALLI,IND,0,10th Pass,,
